episode,pitch_no,company,ashneer,namita,anupam,vineeta,aman,peyush,ghazal,no_of_presenters,male_presenter,female_presenter,deal_amount,deal_equity,deal_debt
1,1,"BluePine Industries",1,0,0,1,1,0,0,3,2,1,75,18,0
1,2,"Booz scooters",1,0,0,1,0,0,0,1,1,0,40,50,0
1,3,"Heart up my Sleeves",0,0,1,1,0,0,0,1,0,1,25,30,0
2,4,"Tagz Foods",1,0,0,0,0,0,0,2,2,0,0,0,0
2,5,"Head and Heart",0,0,0,0,0,0,0,4,1,3,0,0,0
2,6,"Agro tourism",0,0,0,0,0,0,0,2,1,1,0,0,0
3,7,"Qzense Labs",0,0,0,0,0,0,0,2,0,2,0,0,0
3,8,Peeschute,0,0,0,0,1,0,0,1,1,0,75,6,0
3,9,NOCD,0,0,0,1,0,0,0,2,2,0,20,15,30
4,10,Cosiq,0,0,1,1,0,0,0,2,1,1,0,0,0
4,11,"JhaJi Achaar",0,0,0,0,0,0,0,2,0,2,0,0,0
4,12,Bummer,0,1,0,0,1,0,0,1,1,0,75,7.5,0
5,13,"Revamp Moto",0,0,1,0,1,0,0,3,3,0,0,0,0
5,14,"Hungry Heads",0,0,0,0,0,0,0,2,2,0,0,0,0
5,15,"Shrawani Engineers",0,0,0,0,0,0,0,2,1,1,0,0,0
6,16,"Skippi Pops",1,1,1,1,1,0,0,2,1,1,0,0,0
6,17,Menstrupedia,0,1,0,0,0,0,0,2,1,1,50,20,0
6,18,Hecolll,0,0,0,0,0,0,0,1,0,1,0,0,0
7,19,"Raising Superstars",1,0,0,0,1,0,0,2,1,1,0,0,0
7,20,Torch-it,0,0,0,0,0,0,0,1,1,0,0,0,0
7,21,"La Kheer Delhi",0,0,0,0,0,0,0,3,1,2,0,0,0
8,22,"Beyond Snack",1,0,0,0,1,0,0,1,1,0,0,0,0
8,23,"Vivalyf Innovations- Easy Life",0,0,1,0,0,1,0,2,1,1,56,33.33,0
8,24,"Motion Breeze",1,0,0,0,0,0,0,4,4,0,30,6,0
9,25,Altor,0,1,0,0,1,0,0,4,4,0,0,0,0
9,26,Ariro,0,0,0,0,1,1,0,2,1,1,50,10,0
9,27,"Kabira Handmade",0,0,0,0,0,0,0,2,1,1,0,0,0
10,28,Nuutjob,0,1,0,0,1,1,0,2,0,2,0,0,0
10,29,Meatyour,0,0,1,0,1,1,0,3,3,0,30,20,0
10,30,EventBeep,1,0,0,0,1,1,0,3,2,1,30,3,0
11,31,"Gopal's 56",0,0,0,0,0,0,0,1,1,0,0,0,0
11,32,"ARRCOAT Surface Textures",0,0,1,0,0,0,0,3,3,0,50,15,0
11,33,Farda,0,1,0,0,1,0,0,2,1,1,30,20,0
12,34,"Auli Lifestyle",0,1,0,0,0,0,0,1,0,1,0,0,0
12,35,SweeDesi,0,0,0,0,0,0,0,2,1,1,0,0,0
12,36,LOKA,0,0,1,0,1,1,0,1,1,0,40,24,0
13,37,Annie,0,1,1,0,0,1,0,4,3,1,0,0,0
13,38,Caragreen,0,0,1,0,0,1,0,2,0,2,50,20,0
13,39,"The Yarn Bazaar",1,0,1,0,1,1,0,1,1,0,100,10,0
14,40,"The Renal Project",0,1,0,0,1,0,0,1,1,0,0,0,0
14,41,"Morikko Pure Foods",0,0,0,0,0,0,0,3,2,1,0,0,0
14,42,"Good Good Piggy Bank",0,0,0,0,0,0,0,2,0,2,0,0,0
15,43,"Hammer Lifestyle",0,0,0,0,1,0,0,3,3,0,0,0,0
15,44,PNT,0,0,0,0,0,1,0,2,2,0,25,25,25
15,45,Cocofit,0,1,1,0,1,0,0,3,3,0,5,5,0
16,46,"Bamboo India",1,0,1,0,0,0,0,2,1,1,0,0,0
16,47,"Flying Furr",0,0,0,0,0,0,0,3,2,1,0,0,0
16,48,"Beyond Water",0,1,0,0,1,0,0,2,1,1,75,15,0
16,49,"Let's Try",0,0,1,0,1,0,0,4,1,3,45,12,0
17,50,"Find Your Kicks India",1,1,1,0,1,1,0,3,3,0,0,0,0
17,51,"Aas Vidyalaya",1,1,0,0,0,1,0,2,1,1,1.5,15,0
17,52,Outbox,0,0,0,0,0,0,0,2,1,1,0,0,0
17,53,RoadBounce,0,0,0,0,0,1,0,1,1,0,80,20,0
18,54,"Mommy's Kitchen",0,0,0,0,0,0,0,3,2,1,0,0,0
18,55,"India Hemp and Co",0,0,0,0,0,0,0,1,0,1,0,0,0
18,56,Otua,1,0,0,0,0,0,0,2,2,0,1,1,99
18,57,Anthyesti,0,0,0,0,0,0,0,1,0,1,0,0,0
19,58,Ethik,0,0,0,0,0,0,0,2,2,0,0,0,0
19,59,WeSTOCK,1,1,0,0,1,1,0,2,2,0,60,10,0
19,60,KetoIndia,0,0,0,0,0,0,0,1,1,0,0,0,0
19,61,"Magic lock",0,0,0,0,0,0,0,3,3,0,0,0,0
20,62,"The State Plate",0,0,0,0,0,1,0,2,1,1,0,0,0
20,63,Bakarmax,0,0,0,0,0,0,0,2,2,0,0,0,0
20,64,"IN A CAN",1,1,1,0,1,1,0,2,2,0,100,10,0
21,65,"Get a Whey",1,0,0,1,1,0,0,2,1,1,0,0,0
21,66,"Sid 07 Designs",0,0,0,0,0,1,0,1,1,0,25,75,22
